business_size,business_stage,industry,revenue_trend,marketing_spend_pct,acquisition_trend,pricing_strategy,capacity_utilisation,workforce_size,attrition_rate_bucket,skill_gap_level,salary_competitiveness,workload_level,risk_tolerance,budget_flexibility,hiring_feasibility,planned_marketing_change,planned_retention_invest,hiring_plan,growth_target_hit,high_attrition_risk,expected_attrition_cost
1-10,Scaling,Tech,Growing_fast,5-10,Stable,Low-cost,Under-utilised,7,>20,Some skill gaps,Below market,High,Medium,Flexible,Moderate,0,0,Replace only,0,1,6295.78
200+,Growth,Tech,Flat,10-20,Increasing,Premium,Under-utilised,421,10-20,Some skill gaps,Below market,Sustainable,Medium,Very limited,Easy,+5,+5,Replace only,0,1,309477.94
51-200,Early-stage,Services,Growing_fast,10-20,Increasing,Market-average,Optimal,125,5-10,Fully covered,Market-aligned,High,Medium,Flexible,Moderate,+10,0,Replace only,0,0,87185.67
1-10,Early-stage,Tech,Growing_slowly,10-20,Declining,Premium,Optimal,8,<5,Fully covered,Market-aligned,Sustainable,Medium,Moderate,Easy,-10,+5,Net new hires,1,0,3103.43
1-10,Mature,Retail,Growing_slowly,5-10,Stable,Premium,Over-stretched,8,10-20,Some skill gaps,Above market,Sustainable,Medium,Moderate,Easy,-10,0,Replace only,0,0,3909.71
1-10,Scaling,Finance,Declining,>20,Increasing,Premium,Over-stretched,7,10-20,Significant gaps,Below market,High,Medium,Moderate,Easy,+10,0,Replace only,0,0,6096.18
200+,Mature,Services,Flat,<5,Increasing,Market-average,Optimal,561,10-20,Fully covered,Above market,Sustainable,Medium,Moderate,Moderate,+10,0,Net new hires,0,0,186771.84
11-50,Mature,Finance,Flat,5-10,Stable,Market-average,Over-stretched,32,10-20,Some skill gaps,Market-aligned,High,High,Very limited,Moderate,0,+5,Replace only,1,1,21616.99
51-200,Early-stage,Services,Growing_slowly,10-20,Stable,Premium,Optimal,133,10-20,Some skill gaps,Below market,Sustainable,Low,Very limited,Moderate,0,0,Net new hires,0,1,86641.38
51-200,Scaling,Finance,Growing_fast,<5,Stable,Market-average,Under-utilised,119,10-20,Some skill gaps,Below market,Unsustainable,High,Moderate,Moderate,0,0,Net new hires,1,1,119098.36
11-50,Growth,Tech,Growing_fast,10-20,Increasing,Market-average,Under-utilised,34,10-20,Some skill gaps,Market-aligned,Unsustainable,High,Very limited,Easy,-10,0,Freeze,0,1,28169.91
1-10,Scaling,Finance,Declining,5-10,Stable,Market-average,Over-stretched,8,<5,Fully covered,Market-aligned,Sustainable,Low,Very limited,Difficult,+5,+10,Replace only,0,1,5055.65
200+,Early-stage,Finance,Flat,<5,Increasing,Market-average,Optimal,554,5-10,Fully covered,Below market,Sustainable,Low,Very limited,Easy,+5,+3,Freeze,0,0,334109.32
11-50,Growth,Tech,Flat,<5,Declining,Market-average,Over-stretched,36,<5,Some skill gaps,Market-aligned,Sustainable,Medium,Flexible,Difficult,+10,+10,Replace only,1,0,12508.32
11-50,Scaling,Retail,Growing_fast,10-20,Increasing,Market-average,Under-utilised,32,<5,Significant gaps,Market-aligned,Sustainable,Low,Very limited,Difficult,+5,0,Replace only,1,1,22029.82
51-200,Scaling,Other,Flat,10-20,Declining,Market-average,Under-utilised,146,5-10,Some skill gaps,Market-aligned,High,Low,Flexible,Difficult,0,+3,Replace only,0,1,113141.87
51-200,Scaling,Tech,Flat,5-10,Increasing,Market-average,Over-stretched,128,<5,Fully covered,Market-aligned,High,Medium,Moderate,Moderate,0,+3,Freeze,0,0,55787.6
200+,Growth,Finance,Growing_slowly,<5,Declining,Low-cost,Over-stretched,461,>20,Fully covered,Market-aligned,High,Medium,Very limited,Difficult,+10,0,Replace only,0,1,394964.45
1-10,Growth,Other,Growing_slowly,<5,Declining,Premium,Over-stretched,9,5-10,Some skill gaps,Below market,Unsustainable,Low,Very limited,Easy,+5,+3,Freeze,0,1,8879.63
11-50,Mature,Other,Flat,<5,Declining,Market-average,Under-utilised,36,10-20,Some skill gaps,Below market,High,High,Very limited,Difficult,+10,0,Replace only,0,0,21769.69
11-50,Growth,Services,Growing_slowly,10-20,Stable,Market-average,Optimal,47,<5,Fully covered,Below market,High,Low,Moderate,Easy,0,0,Replace only,0,0,25372.32
11-50,Growth,Retail,Declining,<5,Stable,Market-average,Optimal,35,10-20,Fully covered,Above market,High,Low,Very limited,Moderate,-10,0,Replace only,0,1,26178.74
1-10,Growth,Other,Declining,<5,Increasing,Premium,Over-stretched,9,5-10,Some skill gaps,Market-aligned,High,Low,Flexible,Moderate,+10,+3,Replace only,0,0,6189.05
1-10,Growth,Retail,Declining,<5,Increasing,Market-average,Optimal,8,5-10,Fully covered,Below market,High,High,Moderate,Difficult,0,+3,Replace only,0,0,6726.65
11-50,Growth,Tech,Flat,5-10,Stable,Market-average,Optimal,37,10-20,Fully covered,Market-aligned,Sustainable,High,Moderate,Moderate,-10,+3,Freeze,1,1,23696.42
11-50,Growth,Tech,Growing_fast,10-20,Stable,Low-cost,Under-utilised,33,5-10,Some skill gaps,Market-aligned,Sustainable,Low,Moderate,Moderate,+5,+5,Replace only,1,1,20115.05
11-50,Scaling,Finance,Growing_slowly,10-20,Stable,Premium,Optimal,33,5-10,Fully covered,Market-aligned,Sustainable,Medium,Moderate,Easy,+10,+3,Replace only,0,0,19645.91
51-200,Mature,Services,Growing_slowly,5-10,Increasing,Market-average,Under-utilised,128,10-20,Fully covered,Below market,Sustainable,Low,Flexible,Difficult,+5,+3,Freeze,0,1,70066.51
51-200,Mature,Tech,Flat,>20,Declining,Market-average,Over-stretched,104,10-20,Fully covered,Market-aligned,High,Low,Moderate,Difficult,+5,0,Net new hires,1,1,73434.96
11-50,Growth,Services,Growing_slowly,5-10,Stable,Low-cost,Under-utilised,31,5-10,Fully covered,Market-aligned,High,Low,Moderate,Easy,0,+5,Net new hires,1,1,24340.51
11-50,Growth,Finance,Growing_fast,>20,Declining,Market-average,Optimal,35,>20,Significant gaps,Below market,Sustainable,High,Flexible,Moderate,+10,0,Replace only,0,0,26860.23
1-10,Scaling,Services,Flat,10-20,Stable,Market-average,Over-stretched,9,5-10,Some skill gaps,Below market,Unsustainable,Medium,Flexible,Moderate,+10,0,Freeze,1,1,8828.12
11-50,Scaling,Other,Growing_fast,<5,Stable,Market-average,Optimal,35,5-10,Fully covered,Below market,Sustainable,Medium,Moderate,Moderate,+10,+3,Net new hires,1,0,19028.85
11-50,Growth,Finance,Growing_slowly,10-20,Declining,Market-average,Optimal,35,5-10,Fully covered,Market-aligned,Unsustainable,Low,Moderate,Easy,-10,+5,Net new hires,1,0,22193.73
1-10,Scaling,Other,Growing_slowly,5-10,Declining,Market-average,Optimal,6,5-10,Fully covered,Below market,Sustainable,High,Moderate,Moderate,+5,0,Replace only,0,0,2873.07
11-50,Scaling,Other,Flat,10-20,Increasing,Market-average,Optimal,43,5-10,Significant gaps,Market-aligned,Sustainable,High,Moderate,Easy,+10,+3,Net new hires,0,0,27469.39
11-50,Scaling,Tech,Growing_slowly,<5,Declining,Premium,Optimal,40,10-20,Some skill gaps,Market-aligned,Sustainable,Low,Moderate,Difficult,0,0,Freeze,0,1,30187.21
1-10,Scaling,Retail,Growing_slowly,5-10,Stable,Low-cost,Optimal,9,5-10,Some skill gaps,Above market,Sustainable,Medium,Moderate,Moderate,0,0,Replace only,1,0,5136.57
11-50,Early-stage,Tech,Growing_fast,>20,Stable,Market-average,Under-utilised,27,>20,Fully covered,Market-aligned,Sustainable,Medium,Flexible,Moderate,+20,+3,Freeze,1,1,16970.39
11-50,Growth,Other,Growing_fast,<5,Increasing,Low-cost,Over-stretched,36,<5,Significant gaps,Market-aligned,High,High,Moderate,Moderate,+10,0,Replace only,0,0,22078.09
51-200,Growth,Tech,Flat,<5,Increasing,Market-average,Under-utilised,103,10-20,Some skill gaps,Market-aligned,Sustainable,Medium,Moderate,Moderate,+20,+5,Replace only,0,1,60026.98
51-200,Early-stage,Retail,Growing_fast,5-10,Declining,Premium,Optimal,133,<5,Fully covered,Market-aligned,Sustainable,Low,Moderate,Easy,+5,0,Replace only,1,1,61931.57
51-200,Mature,Finance,Growing_fast,5-10,Increasing,Low-cost,Over-stretched,125,5-10,Fully covered,Above market,Sustainable,Medium,Very limited,Moderate,0,+3,Freeze,1,1,51055.55
11-50,Scaling,Tech,Growing_slowly,10-20,Stable,Premium,Over-stretched,37,5-10,Fully covered,Above market,High,Medium,Moderate,Moderate,-10,0,Freeze,0,0,25269.33
51-200,Early-stage,Finance,Declining,10-20,Stable,Market-average,Under-utilised,107,10-20,Some skill gaps,Market-aligned,High,Medium,Moderate,Moderate,+10,0,Replace only,1,1,71400.11
11-50,Scaling,Tech,Flat,>20,Increasing,Market-average,Optimal,29,10-20,Fully covered,Market-aligned,Sustainable,Low,Very limited,Moderate,+10,+3,Replace only,1,0,14546.76
11-50,Scaling,Services,Declining,5-10,Increasing,Low-cost,Optimal,31,<5,Fully covered,Market-aligned,Sustainable,High,Moderate,Easy,0,0,Replace only,1,0,16307.59
51-200,Scaling,Services,Declining,5-10,Stable,Market-average,Optimal,125,<5,Some skill gaps,Market-aligned,High,High,Very limited,Easy,0,0,Replace only,1,1,98424.16
11-50,Growth,Services,Growing_fast,<5,Stable,Premium,Optimal,33,5-10,Some skill gaps,Market-aligned,High,Medium,Very limited,Easy,+10,0,Replace only,0,0,27030.91
11-50,Mature,Retail,Flat,<5,Declining,Market-average,Optimal,36,<5,Fully covered,Market-aligned,High,Medium,Moderate,Easy,0,0,Net new hires,0,1,20061.43
51-200,Growth,Other,Growing_slowly,10-20,Stable,Market-average,Optimal,101,10-20,Some skill gaps,Market-aligned,High,Medium,Moderate,Easy,-10,+5,Net new hires,0,1,76296.93
200+,Growth,Services,Growing_slowly,<5,Increasing,Market-average,Optimal,449,5-10,Fully covered,Below market,Sustainable,Medium,Moderate,Easy,+20,+5,Replace only,1,1,273496.51
200+,Early-stage,Retail,Growing_slowly,<5,Stable,Market-average,Optimal,544,10-20,Some skill gaps,Market-aligned,High,Low,Moderate,Moderate,+5,0,Net new hires,1,1,434359.11
11-50,Scaling,Other,Flat,>20,Increasing,Low-cost,Over-stretched,36,>20,Some skill gaps,Below market,High,Medium,Very limited,Easy,+10,0,Replace only,1,1,32469.6
11-50,Scaling,Finance,Growing_slowly,5-10,Declining,Market-average,Optimal,37,5-10,Some skill gaps,Market-aligned,High,Medium,Flexible,Moderate,+20,0,Replace only,0,0,29878.32
51-200,Growth,Tech,Growing_slowly,<5,Increasing,Market-average,Under-utilised,127,>20,Significant gaps,Below market,Sustainable,High,Moderate,Difficult,+10,+5,Replace only,1,0,91768.37
11-50,Growth,Other,Growing_slowly,10-20,Increasing,Market-average,Optimal,32,10-20,Some skill gaps,Below market,High,Low,Moderate,Difficult,+5,0,Net new hires,1,1,22746.95
51-200,Scaling,Tech,Flat,5-10,Increasing,Market-average,Optimal,149,<5,Some skill gaps,Below market,High,Medium,Very limited,Moderate,+5,0,Freeze,0,1,112013.42
11-50,Scaling,Retail,Growing_slowly,>20,Declining,Market-average,Over-stretched,36,10-20,Some skill gaps,Market-aligned,High,Medium,Flexible,Easy,+5,+3,Freeze,1,1,26115.31
1-10,Growth,Retail,Declining,10-20,Stable,Premium,Over-stretched,8,5-10,Fully covered,Market-aligned,High,High,Moderate,Moderate,+20,+5,Net new hires,0,1,6644.98
1-10,Mature,Finance,Growing_slowly,<5,Declining,Market-average,Over-stretched,8,10-20,Significant gaps,Market-aligned,High,Medium,Flexible,Moderate,0,+3,Replace only,0,1,6155.56
51-200,Scaling,Tech,Flat,<5,Stable,Market-average,Optimal,136,10-20,Some skill gaps,Market-aligned,Sustainable,Low,Moderate,Moderate,+5,+5,Net new hires,1,1,94004.67
1-10,Mature,Tech,Flat,5-10,Increasing,Premium,Over-stretched,6,>20,Significant gaps,Above market,Sustainable,Medium,Flexible,Difficult,+10,0,Replace only,0,1,4745.57
11-50,Mature,Finance,Growing_fast,10-20,Stable,Low-cost,Optimal,35,10-20,Some skill gaps,Above market,Sustainable,Low,Moderate,Moderate,0,0,Net new hires,1,0,15307.34
11-50,Mature,Tech,Flat,5-10,Declining,Market-average,Optimal,46,10-20,Some skill gaps,Market-aligned,High,Medium,Very limited,Difficult,+10,+3,Replace only,0,1,36285.19
1-10,Scaling,Services,Growing_fast,10-20,Stable,Market-average,Optimal,9,5-10,Fully covered,Market-aligned,High,Medium,Moderate,Easy,0,+5,Net new hires,1,0,4679.87
11-50,Scaling,Finance,Growing_fast,5-10,Stable,Market-average,Over-stretched,34,>20,Fully covered,Market-aligned,High,Medium,Very limited,Moderate,-10,0,Net new hires,0,1,33233.13
51-200,Early-stage,Retail,Flat,5-10,Stable,Premium,Over-stretched,133,10-20,Some skill gaps,Market-aligned,High,Medium,Moderate,Easy,-10,0,Net new hires,0,0,92173.43
1-10,Growth,Tech,Flat,<5,Stable,Market-average,Optimal,7,10-20,Significant gaps,Below market,High,Low,Moderate,Easy,+5,0,Freeze,0,0,5367.58
51-200,Scaling,Services,Declining,<5,Increasing,Market-average,Over-stretched,126,>20,Some skill gaps,Market-aligned,High,Medium,Moderate,Easy,-10,+5,Replace only,1,0,72810.93
200+,Growth,Other,Growing_fast,5-10,Declining,Market-average,Over-stretched,419,<5,Some skill gaps,Below market,Sustainable,High,Moderate,Difficult,+5,0,Freeze,1,1,236454.94
11-50,Mature,Services,Growing_slowly,5-10,Stable,Low-cost,Over-stretched,32,5-10,Fully covered,Market-aligned,Sustainable,Medium,Moderate,Moderate,0,+5,Net new hires,0,1,18904.84
1-10,Early-stage,Tech,Declining,>20,Stable,Premium,Optimal,7,10-20,Fully covered,Market-aligned,Sustainable,High,Moderate,Difficult,-10,+5,Replace only,0,1,3042.2
51-200,Growth,Tech,Growing_slowly,<5,Declining,Low-cost,Over-stretched,150,>20,Fully covered,Above market,High,Medium,Moderate,Difficult,0,+3,Replace only,0,1,119643.93
1-10,Growth,Services,Declining,10-20,Stable,Market-average,Over-stretched,7,10-20,Significant gaps,Below market,Sustainable,Medium,Moderate,Moderate,+10,+5,Freeze,1,0,5500.69
11-50,Growth,Other,Growing_slowly,<5,Increasing,Market-average,Optimal,40,5-10,Some skill gaps,Market-aligned,Sustainable,Medium,Moderate,Difficult,0,0,Replace only,1,0,18491.5
200+,Early-stage,Services,Growing_slowly,10-20,Stable,Low-cost,Optimal,420,5-10,Some skill gaps,Market-aligned,Sustainable,High,Moderate,Moderate,+10,0,Replace only,1,1,227189.61
200+,Early-stage,Tech,Declining,<5,Increasing,Market-average,Over-stretched,413,5-10,Significant gaps,Above market,High,Low,Flexible,Difficult,+10,+3,Freeze,1,1,264446.86
51-200,Scaling,Services,Growing_fast,10-20,Stable,Market-average,Over-stretched,127,5-10,Fully covered,Above market,Unsustainable,Low,Moderate,Moderate,+10,+5,Replace only,1,0,103697.03
11-50,Growth,Tech,Flat,<5,Stable,Low-cost,Optimal,28,>20,Significant gaps,Below market,Unsustainable,Low,Very limited,Moderate,+5,+10,Freeze,1,0,22591.7
51-200,Early-stage,Tech,Growing_slowly,<5,Increasing,Premium,Over-stretched,131,5-10,Some skill gaps,Above market,Sustainable,Medium,Moderate,Moderate,+10,+3,Net new hires,1,0,82020.95
51-200,Early-stage,Other,Growing_slowly,5-10,Increasing,Premium,Optimal,117,5-10,Fully covered,Above market,High,Medium,Moderate,Difficult,+5,0,Net new hires,1,0,61692.89
11-50,Growth,Finance,Growing_fast,5-10,Declining,Low-cost,Optimal,32,5-10,Some skill gaps,Above market,Sustainable,Medium,Flexible,Difficult,+5,0,Replace only,1,1,17332.93
51-200,Early-stage,Tech,Growing_slowly,5-10,Increasing,Premium,Optimal,106,>20,Fully covered,Market-aligned,High,Low,Flexible,Easy,-10,+3,Replace only,1,1,81166.99
1-10,Scaling,Services,Growing_fast,5-10,Increasing,Market-average,Optimal,10,10-20,Some skill gaps,Market-aligned,Sustainable,Medium,Flexible,Easy,+20,+5,Replace only,0,0,5893.49
1-10,Scaling,Tech,Flat,>20,Declining,Low-cost,Optimal,7,<5,Fully covered,Below market,Sustainable,Low,Moderate,Moderate,+10,+3,Net new hires,1,1,5140.78
11-50,Early-stage,Tech,Growing_fast,5-10,Stable,Market-average,Optimal,34,5-10,Fully covered,Below market,High,Medium,Moderate,Difficult,+5,+5,Net new hires,1,0,21915.85
1-10,Growth,Retail,Flat,5-10,Declining,Premium,Optimal,9,5-10,Some skill gaps,Below market,High,Low,Moderate,Easy,+5,0,Replace only,1,1,5494.75
1-10,Early-stage,Services,Growing_slowly,>20,Stable,Market-average,Under-utilised,6,5-10,Fully covered,Market-aligned,Unsustainable,Medium,Very limited,Moderate,+5,+3,Replace only,0,1,5558.34
51-200,Growth,Finance,Declining,10-20,Increasing,Low-cost,Under-utilised,140,10-20,Fully covered,Above market,Sustainable,Medium,Moderate,Moderate,-10,0,Freeze,0,0,79137.52
200+,Mature,Other,Growing_fast,5-10,Stable,Market-average,Optimal,447,5-10,Some skill gaps,Market-aligned,Unsustainable,Medium,Moderate,Difficult,0,+3,Replace only,1,1,361149.95
11-50,Growth,Tech,Growing_fast,5-10,Stable,Market-average,Optimal,27,5-10,Fully covered,Market-aligned,Sustainable,Medium,Very limited,Difficult,0,+5,Net new hires,1,0,19244.13
51-200,Mature,Other,Flat,<5,Stable,Market-average,Under-utilised,110,5-10,Some skill gaps,Market-aligned,Sustainable,High,Flexible,Moderate,+10,+3,Net new hires,1,1,44756.21
200+,Early-stage,Services,Growing_slowly,5-10,Stable,Market-average,Under-utilised,376,5-10,Some skill gaps,Market-aligned,High,Medium,Flexible,Moderate,+5,+3,Replace only,1,0,246600.6
1-10,Growth,Tech,Growing_slowly,5-10,Increasing,Premium,Under-utilised,8,5-10,Fully covered,Market-aligned,High,Medium,Moderate,Difficult,0,0,Replace only,0,0,4182.59
11-50,Growth,Finance,Flat,10-20,Stable,Market-average,Under-utilised,30,10-20,Significant gaps,Market-aligned,Unsustainable,Low,Very limited,Easy,0,+10,Replace only,1,1,24960.74
11-50,Growth,Tech,Growing_slowly,10-20,Stable,Low-cost,Over-stretched,30,<5,Fully covered,Market-aligned,High,Medium,Flexible,Moderate,+10,+3,Replace only,1,0,13896.07
1-10,Mature,Retail,Growing_slowly,<5,Stable,Premium,Optimal,8,5-10,Fully covered,Market-aligned,High,Medium,Very limited,Difficult,+10,+5,Net new hires,1,1,4931.62
51-200,Early-stage,Finance,Growing_slowly,<5,Increasing,Market-average,Optimal,120,10-20,Fully covered,Market-aligned,Sustainable,Medium,Very limited,Moderate,+10,0,Replace only,1,0,67457.12
11-50,Mature,Tech,Declining,5-10,Increasing,Market-average,Optimal,41,>20,Some skill gaps,Market-aligned,Unsustainable,Medium,Moderate,Difficult,0,0,Replace only,0,1,37058.52
11-50,Mature,Other,Growing_fast,5-10,Increasing,Market-average,Under-utilised,41,<5,Fully covered,Market-aligned,High,Medium,Flexible,Moderate,+5,+3,Replace only,1,0,14161.5
1-10,Growth,Tech,Declining,5-10,Stable,Market-average,Optimal,8,<5,Fully covered,Market-aligned,High,High,Moderate,Moderate,+5,+3,Replace only,1,1,5176.59
1-10,Growth,Finance,Growing_slowly,10-20,Stable,Low-cost,Over-stretched,8,>20,Some skill gaps,Above market,High,Low,Moderate,Difficult,0,+3,Replace only,1,0,6215.96
200+,Growth,Tech,Declining,5-10,Increasing,Market-average,Under-utilised,354,<5,Some skill gaps,Market-aligned,Sustainable,Medium,Flexible,Moderate,0,0,Replace only,1,0,276109.08
1-10,Growth,Tech,Declining,>20,Increasing,Premium,Under-utilised,8,>20,Fully covered,Market-aligned,Unsustainable,Medium,Moderate,Difficult,+5,+3,Replace only,1,1,6477.74
1-10,Scaling,Services,Declining,5-10,Stable,Premium,Optimal,8,10-20,Fully covered,Market-aligned,High,Low,Moderate,Difficult,+5,0,Net new hires,0,1,5044.97
11-50,Growth,Other,Flat,<5,Increasing,Market-average,Under-utilised,40,<5,Fully covered,Below market,High,Low,Very limited,Easy,0,0,Replace only,1,1,26943.01
11-50,Mature,Tech,Growing_slowly,5-10,Stable,Low-cost,Under-utilised,33,<5,Fully covered,Market-aligned,High,Medium,Moderate,Moderate,0,+5,Freeze,1,0,14162.51
11-50,Scaling,Other,Growing_slowly,10-20,Declining,Market-average,Optimal,33,>20,Some skill gaps,Below market,High,Low,Moderate,Moderate,0,+5,Freeze,1,1,30987.76
11-50,Growth,Tech,Growing_slowly,5-10,Increasing,Market-average,Optimal,33,5-10,Fully covered,Below market,High,High,Very limited,Difficult,+5,0,Replace only,1,0,20530.68
1-10,Scaling,Services,Growing_slowly,5-10,Declining,Market-average,Optimal,9,5-10,Fully covered,Below market,High,Medium,Moderate,Difficult,+5,+10,Replace only,0,1,5181.83
1-10,Growth,Services,Declining,5-10,Increasing,Market-average,Over-stretched,8,<5,Fully covered,Market-aligned,Sustainable,Medium,Very limited,Moderate,+10,+10,Replace only,1,0,4259.44
51-200,Mature,Tech,Declining,10-20,Stable,Market-average,Under-utilised,93,10-20,Some skill gaps,Market-aligned,High,Medium,Very limited,Moderate,0,+3,Freeze,1,1,69836.82
51-200,Early-stage,Other,Growing_slowly,>20,Increasing,Low-cost,Optimal,131,10-20,Some skill gaps,Market-aligned,High,Low,Moderate,Moderate,+5,+5,Net new hires,0,0,96494.62
51-200,Mature,Services,Growing_slowly,5-10,Stable,Market-average,Optimal,111,10-20,Fully covered,Market-aligned,High,Low,Very limited,Moderate,0,+3,Replace only,1,1,59437.91
51-200,Scaling,Retail,Growing_slowly,<5,Increasing,Market-average,Optimal,139,<5,Some skill gaps,Market-aligned,High,Medium,Very limited,Moderate,+5,0,Freeze,1,0,103235.59
51-200,Mature,Retail,Flat,5-10,Increasing,Market-average,Optimal,129,5-10,Some skill gaps,Above market,Sustainable,Medium,Moderate,Difficult,+10,0,Replace only,1,1,55885.69
1-10,Growth,Services,Growing_fast,5-10,Stable,Market-average,Optimal,9,10-20,Fully covered,Above market,Sustainable,Medium,Flexible,Moderate,+5,0,Replace only,1,1,3293.62
11-50,Scaling,Retail,Declining,>20,Stable,Premium,Optimal,40,<5,Fully covered,Market-aligned,Sustainable,Medium,Moderate,Easy,+10,0,Net new hires,0,0,19718.94
11-50,Growth,Other,Growing_slowly,5-10,Declining,Market-average,Over-stretched,39,10-20,Fully covered,Below market,High,Medium,Very limited,Moderate,-10,+10,Net new hires,1,0,28825.34
11-50,Scaling,Retail,Declining,10-20,Stable,Market-average,Optimal,40,10-20,Some skill gaps,Above market,Unsustainable,High,Moderate,Easy,+20,+10,Net new hires,0,0,29920.74
51-200,Early-stage,Services,Growing_slowly,>20,Increasing,Market-average,Optimal,134,<5,Fully covered,Market-aligned,High,Medium,Moderate,Moderate,+10,+3,Replace only,0,1,86186.81
11-50,Growth,Retail,Flat,10-20,Stable,Market-average,Over-stretched,31,>20,Fully covered,Below market,High,Medium,Very limited,Difficult,0,+3,Net new hires,0,1,25691.73
51-200,Growth,Retail,Growing_slowly,<5,Increasing,Market-average,Optimal,99,5-10,Some skill gaps,Market-aligned,High,Low,Very limited,Moderate,+5,+10,Replace only,1,1,44580.75
200+,Growth,Services,Declining,10-20,Stable,Market-average,Over-stretched,393,<5,Some skill gaps,Market-aligned,High,Medium,Moderate,Difficult,+5,+5,Replace only,0,1,248415.37
11-50,Growth,Retail,Growing_slowly,5-10,Stable,Market-average,Optimal,38,<5,Some skill gaps,Market-aligned,Unsustainable,Medium,Moderate,Moderate,+20,0,Replace only,1,0,30172.22
200+,Scaling,Services,Declining,5-10,Increasing,Market-average,Optimal,299,5-10,Fully covered,Market-aligned,Sustainable,Medium,Very limited,Moderate,0,+10,Replace only,1,0,140546.88
11-50,Growth,Finance,Growing_slowly,>20,Declining,Low-cost,Optimal,34,5-10,Fully covered,Below market,High,Low,Very limited,Moderate,+5,+3,Freeze,0,1,23160.62
200+,Scaling,Other,Declining,5-10,Stable,Premium,Optimal,432,5-10,Some skill gaps,Below market,Sustainable,Low,Moderate,Moderate,+5,0,Replace only,1,1,377843.03
11-50,Early-stage,Other,Declining,5-10,Stable,Market-average,Under-utilised,41,10-20,Some skill gaps,Market-aligned,Sustainable,Low,Moderate,Moderate,0,0,Net new hires,1,0,32334.67
11-50,Scaling,Finance,Growing_slowly,<5,Declining,Low-cost,Optimal,34,10-20,Significant gaps,Market-aligned,High,Low,Moderate,Easy,+10,+5,Replace only,1,0,21680.66
11-50,Scaling,Retail,Declining,<5,Stable,Market-average,Over-stretched,33,<5,Some skill gaps,Market-aligned,Sustainable,Medium,Flexible,Moderate,+10,0,Net new hires,1,1,13947.95
1-10,Growth,Finance,Flat,10-20,Increasing,Low-cost,Over-stretched,9,10-20,Some skill gaps,Below market,High,Medium,Very limited,Easy,+5,+5,Replace only,1,1,8404.38
11-50,Scaling,Tech,Growing_fast,10-20,Declining,Premium,Optimal,34,10-20,Fully covered,Market-aligned,Sustainable,Low,Moderate,Easy,+20,+5,Freeze,1,0,21763.56
200+,Mature,Services,Growing_fast,10-20,Increasing,Market-average,Under-utilised,432,5-10,Significant gaps,Above market,Sustainable,Medium,Moderate,Moderate,+20,0,Freeze,0,1,317520.35
51-200,Scaling,Tech,Growing_fast,5-10,Stable,Market-average,Optimal,111,>20,Some skill gaps,Below market,Sustainable,Medium,Moderate,Difficult,+10,0,Replace only,1,1,80369.4
1-10,Growth,Tech,Flat,<5,Declining,Low-cost,Optimal,8,5-10,Fully covered,Market-aligned,Unsustainable,Low,Moderate,Moderate,0,+3,Replace only,1,1,5813.81
11-50,Growth,Other,Growing_slowly,5-10,Stable,Low-cost,Under-utilised,33,<5,Some skill gaps,Market-aligned,High,Low,Moderate,Difficult,+10,0,Replace only,0,0,15443.2
1-10,Scaling,Other,Growing_slowly,5-10,Declining,Low-cost,Over-stretched,7,<5,Some skill gaps,Below market,High,Medium,Moderate,Moderate,0,+3,Replace only,0,0,5356.64
1-10,Growth,Services,Declining,10-20,Increasing,Low-cost,Optimal,9,5-10,Fully covered,Above market,High,Medium,Moderate,Easy,+5,+10,Replace only,1,0,4228.09
200+,Scaling,Tech,Growing_slowly,10-20,Stable,Market-average,Optimal,453,5-10,Some skill gaps,Above market,Sustainable,Medium,Moderate,Easy,+20,+3,Replace only,1,1,192842.0
11-50,Growth,Retail,Declining,>20,Declining,Market-average,Optimal,32,<5,Some skill gaps,Market-aligned,High,Low,Very limited,Easy,0,+3,Freeze,0,0,22835.37
11-50,Scaling,Services,Growing_fast,10-20,Stable,Market-average,Under-utilised,29,5-10,Fully covered,Market-aligned,Sustainable,Medium,Moderate,Moderate,0,+5,Net new hires,1,0,13437.63
11-50,Early-stage,Finance,Growing_slowly,5-10,Stable,Low-cost,Optimal,36,>20,Significant gaps,Below market,Sustainable,Medium,Flexible,Moderate,+10,+10,Net new hires,0,1,30001.85
1-10,Early-stage,Other,Growing_slowly,10-20,Stable,Low-cost,Optimal,7,10-20,Significant gaps,Market-aligned,High,High,Moderate,Moderate,-10,+10,Net new hires,1,0,5118.84
11-50,Mature,Services,Growing_slowly,10-20,Declining,Low-cost,Optimal,33,10-20,Fully covered,Below market,High,Medium,Very limited,Easy,0,0,Freeze,1,0,26911.51
51-200,Mature,Tech,Flat,>20,Declining,Low-cost,Optimal,104,10-20,Fully covered,Market-aligned,Unsustainable,Low,Flexible,Moderate,0,0,Net new hires,0,0,71098.31
51-200,Mature,Tech,Flat,5-10,Stable,Market-average,Optimal,123,10-20,Significant gaps,Below market,Sustainable,High,Flexible,Easy,+10,+3,Replace only,0,0,77286.49
200+,Mature,Tech,Growing_slowly,10-20,Increasing,Low-cost,Optimal,362,5-10,Fully covered,Market-aligned,High,Medium,Moderate,Difficult,+5,0,Freeze,1,0,249928.08
